belief_p_sepsis,hours_left,best_action,value
0.0,72,monitor,-0.3322842490221256
0.001,72,monitor,-0.33253997717553724
0.002,72,monitor,-0.33277658491212825
0.003,72,monitor,-0.3329945885195371
0.004,72,monitor,-0.3331948806669971
0.005,72,monitor,-0.33337812163421177
0.006,72,monitor,-0.3335440198800662
0.007,72,monitor,-0.3336940069970976
0.008,72,monitor,-0.33382866315282944
0.009000000000000001,72,monitor,-0.3339485023291815
0.01,72,monitor,-0.33405508882406165
0.011,72,monitor,-0.33414858365609573
0.012,72,monitor,-0.33422896211055375
0.013000000000000001,72,monitor,-0.3342971225625328
0.014,72,monitor,-0.3343527684104433
0.015,72,monitor,-0.334395293572531
0.016,72,monitor,-0.3344237462476489
0.017,72,monitor,-0.33443864644453997
0.018000000000000002,72,monitor,-0.33444217987815267
0.019,72,monitor,-0.33443524516008627
0.02,72,monitor,-0.3344174367047319
0.021,72,monitor,-0.33438927046602807
0.022,72,monitor,-0.3343509342412087
0.023,72,monitor,-0.33430246222837356
0.024,72,monitor,-0.3342442912289677
0.025,72,monitor,-0.3341764634583964
0.026000000000000002,72,monitor,-0.3340990169071179
0.027,72,monitor,-0.3340117310850814
0.028,72,monitor,-0.3339147601271151
0.029,72,monitor,-0.33380863053099297
0.03,72,monitor,-0.33369337789232567
0.031,72,monitor,-0.33356936592901476
0.032,72,monitor,-0.33343677460119464
0.033,72,monitor,-0.33329565579730663
0.034,72,monitor,-0.3331463914384591
0.035,72,monitor,-0.3329887585508448
0.036000000000000004,72,monitor,-0.33282332569817563
0.037,72,monitor,-0.33264932622272847
0.038,72,monitor,-0.3324675305836807
0.039,72,monitor,-0.3322778652183045
0.04,72,monitor,-0.3320804170884402
0.041,72,monitor,-0.3318755810514674
0.042,72,monitor,-0.3316631880646612
0.043000000000000003,72,monitor,-0.33144356990220203
0.044,72,monitor,-0.331216878060747
0.045,72,monitor,-0.33098296600081845
0.046,72,monitor,-0.33074229902260377
0.047,72,monitor,-0.3304947156575492
0.048,72,monitor,-0.3302398779792656
0.049,72,monitor,-0.32997843922783243
0.05,72,monitor,-0.32971050154234427
0.051000000000000004,72,monitor,-0.3294358991013018
0.052000000000000005,72,monitor,-0.3291548625700529
0.053,72,monitor,-0.32886767509919523
0.054,72,monitor,-0.32857417081645146
0.055,72,monitor,-0.3282746185020949
0.056,72,monitor,-0.32796892098537256
0.057,72,monitor,-0.3276574370723145
0.058,72,monitor,-0.3273398319084794
0.059000000000000004,72,monitor,-0.3270160811923733
0.06,72,monitor,-0.3266864833381238
0.061,72,monitor,-0.3263513202088685
0.062,72,monitor,-0.3260104078415317
0.063,72,monitor,-0.32566367609449737
0.064,72,monitor,-0.325311290083062
0.065,72,monitor,-0.3249533572460752
0.066,72,monitor,-0.32459012774297624
0.067,72,monitor,-0.3242213624655805
0.068,72,monitor,-0.32384722398918947
0.069,72,monitor,-0.3234676504684632
0.07,72,monitor,-0.32308255030569777
0.07100000000000001,72,monitor,-0.3226922245198267
0.07200000000000001,72,monitor,-0.3222968449348971
0.073,72,monitor,-0.3218962246450869
0.074,72,monitor,-0.32149063346691586
0.075,72,monitor,-0.32107983598048917
0.076,72,monitor,-0.32066408952965414
0.077,72,monitor,-0.32024336914880996
0.078,72,monitor,-0.3198179270505683
0.079,72,monitor,-0.3193874957013828
0.08,72,monitor,-0.31895242968967635
0.081,72,monitor,-0.31851221233427424
0.082,72,monitor,-0.3180671647592013
0.083,72,monitor,-0.3176173358250207
0.084,72,monitor,-0.3171630604026282
0.085,72,monitor,-0.31670405855697703
0.08600000000000001,72,monitor,-0.3162406429758549
0.08700000000000001,72,monitor,-0.31577251646480836
0.088,72,monitor,-0.315299834894014
0.089,72,monitor,-0.3148225312469309
0.09,72,monitor,-0.31434090009561344
0.091,72,monitor,-0.3138549412005564
0.092,72,monitor,-0.31336469874726774
0.093,72,monitor,-0.3128700628900599
0.094,72,monitor,-0.31237104400407467
0.095,72,monitor,-0.3118677986508588
0.096,72,monitor,-0.3113603706548536
0.097,72,monitor,-0.3108488673532431
0.098,72,monitor,-0.31033337219291307
0.099,72,monitor,-0.3098139232077776
0.1,72,monitor,-0.309290495474485
0.101,72,monitor,-0.30876315304885726
0.10200000000000001,72,monitor,-0.3082318346375279
0.10300000000000001,72,monitor,-0.3076967520339901
0.10400000000000001,72,monitor,-0.3071577777142147
0.105,72,monitor,-0.306614954628473
0.106,72,monitor,-0.3060682212630642
0.107,72,monitor,-0.30551783585634257
0.108,72,monitor,-0.30496369329227413
0.109,72,monitor,-0.3044058621171417
0.11,72,monitor,-0.3038443516652379
0.111,72,monitor,-0.3032791990924854
0.112,72,monitor,-0.3027104933233419
0.113,72,monitor,-0.30213806360008244
0.114,72,monitor,-0.3015620265853585
0.115,72,monitor,-0.30098222910768463
0.116,72,monitor,-0.3003989135752269
0.117,72,monitor,-0.2998119276775757
0.11800000000000001,72,monitor,-0.2992211575550468
0.11900000000000001,72,monitor,-0.29862688417731637
0.12,72,monitor,-0.29802907157718567
0.121,72,monitor,-0.2974279153724989
0.122,72,monitor,-0.29682321623484953
0.123,72,monitor,-0.2962150818453809
0.124,72,monitor,-0.2956034395646436
0.125,72,monitor,-0.2949882863585498
0.126,72,monitor,-0.2943697881720308
0.127,72,monitor,-0.2937477251051151
0.128,72,monitor,-0.29312225602170383
0.129,72,monitor,-0.2924934785774596
0.13,72,monitor,-0.2918613102108757
0.131,72,monitor,-0.2912259143753647
0.132,72,monitor,-0.2905871970058116
0.133,72,monitor,-0.2899453287015667
0.134,72,monitor,-0.2893001629226301
0.135,72,monitor,-0.28865173135276256
0.136,72,monitor,-0.28800012941679093
0.137,72,monitor,-0.28734524328795147
0.138,72,monitor,-0.2866871718205781
0.139,72,monitor,-0.28602593761651873
0.14,72,monitor,-0.28536163333306835
0.14100000000000001,72,monitor,-0.28469423551702694
0.14200000000000002,72,monitor,-0.2840237331364327
0.14300000000000002,72,monitor,-0.28335012617797634
0.14400000000000002,72,monitor,-0.2826733424181988
0.145,72,monitor,-0.28199341511132664
0.146,72,monitor,-0.28131041142975105
0.147,72,monitor,-0.28062426412853086
0.148,72,monitor,-0.2799350405447154
0.149,72,monitor,-0.2792427554489478
0.15,72,monitor,-0.2785473930210774
0.151,72,monitor,-0.2778490937390788
0.152,72,monitor,-0.2771478354295128
0.153,72,monitor,-0.2764436031139118
0.154,72,monitor,-0.2757363946695557
0.155,72,monitor,-0.2750261339705746
0.156,72,monitor,-0.27431284985124016
0.157,72,monitor,-0.2735964363810416
0.158,72,monitor,-0.27287690355060695
0.159,72,monitor,-0.272154404794008
0.16,72,monitor,-0.27142896162964714
0.161,72,monitor,-0.27070059486982867
0.162,72,monitor,-0.2699694006077659
0.163,72,monitor,-0.26923538817243403
0.164,72,monitor,-0.2684986197468964
0.165,72,monitor,-0.2677591446370055
0.166,72,monitor,-0.2670168706106199
0.167,72,monitor,-0.26627176893880516
0.168,72,monitor,-0.2655238620400802
0.169,72,monitor,-0.2647731003148755
0.17,72,monitor,-0.26401948394473906
0.171,72,monitor,-0.2632629996440694
0.17200000000000001,72,monitor,-0.2625036866522089
0.17300000000000001,72,monitor,-0.2617417722757153
0.17400000000000002,72,monitor,-0.26097732622802977
0.17500000000000002,72,monitor,-0.2602103513216738
0.176,72,monitor,-0.2594409641188425
0.177,72,monitor,-0.25866920208953065
0.178,72,monitor,-0.2578950282235868
0.179,72,monitor,-0.25711847745574906
0.18,72,monitor,-0.25633947382398703
0.181,72,monitor,-0.25555786237661426
0.182,72,monitor,-0.2547737225158479
0.183,72,monitor,-0.2539870641202794
0.184,72,monitor,-0.2531977953893183
0.185,72,monitor,-0.2524059683583144
0.186,72,monitor,-0.25161156088885983
0.187,72,monitor,-0.25081476512114814
0.188,72,monitor,-0.25001568430106424
0.189,72,monitor,-0.24921436592913465
0.19,72,monitor,-0.24841084583203807
0.191,72,monitor,-0.24760512619447966
0.192,72,monitor,-0.2467972061074762
0.193,72,monitor,-0.24598703729408564
0.194,72,monitor,-0.2451744991119159
0.195,72,monitor,-0.24435952415430434
0.196,72,monitor,-0.24354204291373813
0.197,72,monitor,-0.2427220035123762
0.198,72,monitor,-0.2418994829445099
0.199,72,monitor,-0.2410744525458107
0.2,72,monitor,-0.24024693224615845
0.201,72,monitor,-0.23941687684678326
0.202,72,monitor,-0.23858447171819705
0.203,72,monitor,-0.23774987224770797
0.20400000000000001,72,monitor,-0.23691304629533042
0.20500000000000002,72,monitor,-0.23607408471311686
0.20600000000000002,72,monitor,-0.23523297516053493
0.20700000000000002,72,monitor,-0.2343896472206165
0.20800000000000002,72,monitor,-0.23354403939687945
0.209,72,monitor,-0.2326960628479861
0.21,72,monitor,-0.23184562450282145
0.211,72,monitor,-0.23099262178292307
0.212,72,monitor,-0.23013711877414011
0.213,72,monitor,-0.22927909999336155
0.214,72,monitor,-0.22841862834881346
0.215,72,monitor,-0.2275557247047093
0.216,72,monitor,-0.22669052257713473
0.217,72,monitor,-0.22582299146705118
0.218,72,monitor,-0.22495320586361497
0.219,72,monitor,-0.22408139154231166
0.22,72,monitor,-0.22320755493184827
0.221,72,monitor,-0.22233173343344134
0.222,72,monitor,-0.22145385812474466
0.223,72,monitor,-0.22057389426938293
0.224,72,monitor,-0.21969174461961044
0.225,72,monitor,-0.21880730495749184
0.226,72,monitor,-0.21792043120691656
0.227,72,monitor,-0.21703118195964524
0.228,72,monitor,-0.2161395833832059
0.229,72,monitor,-0.21524566355106503
0.23,72,monitor,-0.21434937709728114
0.231,72,monitor,-0.2134508904292304
0.232,72,monitor,-0.21255029550329707
0.233,72,monitor,-0.21164770505228217
0.234,72,monitor,-0.2107430166829507
0.23500000000000001,72,monitor,-0.20983631288625762
0.23600000000000002,72,monitor,-0.20892779773726233
0.23700000000000002,72,monitor,-0.20801744933916552
0.23800000000000002,72,monitor,-0.207105211823751
0.23900000000000002,72,monitor,-0.20619104069250088
0.24,72,monitor,-0.2052748491896225
0.241,72,monitor,-0.20435652750599614
0.242,72,monitor,-0.2034359081287728
0.243,72,monitor,-0.20251293406734305
0.244,72,monitor,-0.20158765129715034
0.245,72,monitor,-0.20066012645903705
0.246,72,monitor,-0.19973035853707588
0.247,72,monitor,-0.19879834690608889
0.248,72,monitor,-0.19786416654243913
0.249,72,monitor,-0.19692796794337714
0.25,72,monitor,-0.19598984390519925
0.251,72,monitor,-0.19504981962668236
0.252,72,monitor,-0.19410778924116695
0.253,72,monitor,-0.19316374842185643
0.254,72,monitor,-0.1922178351505115
0.255,72,monitor,-0.19126999281335577
0.256,72,monitor,-0.19032015906016322
0.257,72,monitor,-0.1893682861698863
0.258,72,monitor,-0.18841426875530343
0.259,72,monitor,-0.18745798702192315
0.26,72,monitor,-0.1864992859669651
0.261,72,monitor,-0.18553816450417746
0.262,72,monitor,-0.18457473535465516
0.263,72,monitor,-0.18360908395000033
0.264,72,monitor,-0.18264125926824962
0.265,72,monitor,-0.18167124873916463
0.266,72,monitor,-0.18069914549428487
0.267,72,monitor,-0.1797250703063983
0.268,72,monitor,-0.17874913511560683
0.269,72,monitor,-0.1777713985142366
0.27,72,monitor,-0.1767918229190138
0.271,72,monitor,-0.17581021878416297
0.272,72,monitor,-0.17482643193004963
0.273,72,monitor,-0.17384065757124628
0.274,72,monitor,-0.17285291850862414
0.275,72,monitor,-0.17186312581802476
0.276,72,monitor,-0.17087119001638026
0.277,72,monitor,-0.16987704040270885
0.278,72,monitor,-0.1688806057956637
0.279,72,monitor,-0.16788186036536382
0.28,72,monitor,-0.16688087732164703
0.281,72,monitor,-0.1658777244326237
0.28200000000000003,72,monitor,-0.16487257148849052
0.28300000000000003,72,monitor,-0.16386551106369068
0.28400000000000003,72,monitor,-0.16285662230259673
0.28500000000000003,72,monitor,-0.16184598601758493
0.28600000000000003,72,monitor,-0.16083369510778492
0.28700000000000003,72,monitor,-0.15981982126097147
0.28800000000000003,72,monitor,-0.15880444105014577
0.289,72,monitor,-0.15778754624856733
0.29,72,monitor,-0.15676895939536356
0.291,72,monitor,-0.15574837103400793
0.292,72,monitor,-0.1547256983968914
0.293,72,monitor,-0.15370128556112117
0.294,72,monitor,-0.15267514221015782
0.295,72,monitor,-0.15164711002291187
0.296,72,monitor,-0.15061708711733196
0.297,72,monitor,-0.14958503694974135
0.298,72,monitor,-0.14855096028995726
0.299,72,monitor,-0.147514883812918
0.3,72,monitor,-0.14647694721946816
0.301,72,monitor,-0.14543723322541605
0.302,72,monitor,-0.1443958491501786
0.303,72,monitor,-0.14335290676046963
0.304,72,monitor,-0.1423084916296306
0.305,72,monitor,-0.14126265320964587
0.306,72,monitor,-0.14021544623064192
0.307,72,monitor,-0.13916689644995933
0.308,72,monitor,-0.13811697977213236
0.309,72,monitor,-0.13706559297379045
0.31,72,monitor,-0.13601250902192977
0.311,72,monitor,-0.13495752805811845
0.312,72,monitor,-0.13390058401819474
0.313,72,monitor,-0.1328417493062036
0.314,72,monitor,-0.1317811659396531
0.315,72,monitor,-0.13071868247277868
0.316,72,monitor,-0.12965419855656424
0.317,72,monitor,-0.1285876781211636
0.318,72,monitor,-0.1275191695785055
0.319,72,monitor,-0.12644874549725532
0.32,72,monitor,-0.12537647631475257
0.321,72,monitor,-0.12430250200060745
0.322,72,monitor,-0.12322690843406753
0.323,72,monitor,-0.12214978182520449
0.324,72,monitor,-0.12107120677907485
0.325,72,monitor,-0.11999124347463984
0.326,72,monitor,-0.11890991143386234
0.327,72,monitor,-0.1178271938663429
0.328,72,monitor,-0.11674303582934713
0.329,72,monitor,-0.11565731464834211
0.33,72,monitor,-0.11456979124405373
0.331,72,monitor,-0.11348021386283029
0.332,72,monitor,-0.11238850807847343
0.333,72,monitor,-0.11129477423156574
0.334,72,monitor,-0.11019905550876093
0.335,72,monitor,-0.10910131336571795
0.336,72,monitor,-0.1080015185126009
0.337,72,monitor,-0.10689958704528606
